0	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
KRTAP5.1	C3	0.6286197315018001	0.5180548194518055	0.014005602240896357	0.2	0.0	0.4	0.0	0.4	0.0028011204481792717	0.0	0.0056022408963585435	0.0	0.0056022408963585435	1	87	0	78	2	60	0	42	2	85	2	0	4	0	4
HIAT1	C3	0.9208674325470486	0.8920610793892061	0.0196078431372549	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.2857142857142857	0.0028011204481792717	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	1	87	1	77	2	60	1	41	2	85	2	2	3	2	3
SGK1	C4	7.657066286479994e-05	9.99990000099999e-06	0.10644257703081234	0.18421052631578946	0.05263157894736842	0.21052631578947367	0.42105263157894735	0.13157894736842105	0.0196078431372549	0.0056022408963585435	0.022408963585434174	0.04481792717086835	0.014005602240896359	7	81	2	76	8	54	16	26	5	82	14	4	16	31	10
NFKBIA	C4	7.657066286479994e-05	9.99990000099999e-06	0.047619047619047616	0.05882352941176471	0.0	0.29411764705882354	0.6470588235294118	0.0	0.0028011204481792717	0.0	0.014005602240896359	0.03081232492997199	0.0	1	87	0	78	5	57	11	31	0	87	2	0	9	20	0
ZFP36L1	C4	0.00014105122106673672	1.999980000199998e-05	0.09803921568627451	0.14285714285714288	0.34285714285714286	0.11428571428571428	0.37142857142857144	0.02857142857142857	0.014005602240896359	0.03361344537815126	0.011204481792717087	0.036414565826330535	0.0028011204481792717	5	83	12	66	4	58	13	29	1	86	9	20	8	25	1
LTB	C4	0.0004550897887247543	8.99991000089999e-05	0.10364145658263306	0.2162162162162162	0.08108108108108107	0.18918918918918917	0.37837837837837834	0.13513513513513514	0.022408963585434174	0.008403361344537815	0.0196078431372549	0.0392156862745098	0.014005602240896359	8	80	3	75	7	55	14	28	5	82	12	6	12	27	9
HIST1H2BC	C4	0.0004550897887247543	8.99991000089999e-05	0.08123249299719888	0.3448275862068966	0.1724137931034483	0.034482758620689655	0.3793103448275862	0.06896551724137931	0.028011204481792718	0.014005602240896359	0.0028011204481792717	0.03081232492997199	0.0056022408963585435	10	78	5	73	1	61	11	31	2	85	19	6	1	18	3
SESN3	C4	0.0010447353153587107	0.00022999770002299976	0.022408963585434174	0.375	0.0	0.0	0.625	0.0	0.008403361344537815	0.0	0.0	0.014005602240896359	0.0	3	85	0	78	0	62	5	37	0	87	5	0	0	10	0
CD83	C4	0.001867860109277695	0.0004599954000459995	0.047619047619047616	0.17647058823529413	0.0	0.11764705882352942	0.4705882352941177	0.23529411764705885	0.008403361344537815	0.0	0.0056022408963585435	0.022408963585434174	0.011204481792717087	3	85	0	78	2	60	8	34	4	83	5	0	4	15	8
KLHL6	C4	0.002067407897349598	0.0005399946000539995	0.10084033613445378	0.16666666666666666	0.16666666666666666	0.05555555555555555	0.3611111111111111	0.25	0.01680672268907563	0.01680672268907563	0.0056022408963585435	0.036414565826330535	0.025210084033613446	6	82	6	72	2	60	13	29	9	78	11	12	3	25	18
HIST1H1B	C4	0.0024597014303829566	0.0006699933000669994	0.09803921568627452	0.11428571428571427	0.1714285714285714	0.11428571428571427	0.3714285714285714	0.22857142857142854	0.011204481792717087	0.01680672268907563	0.011204481792717087	0.036414565826330535	0.022408963585434174	4	84	6	72	4	58	13	29	8	79	7	11	7	23	14
STAT3	C4	0.00365450890945636	0.001049989500104999	0.08403361344537814	0.2	0.2	0.16666666666666669	0.3666666666666667	0.06666666666666668	0.01680672268907563	0.01680672268907563	0.014005602240896359	0.03081232492997199	0.0056022408963585435	6	82	6	72	5	57	11	31	2	85	12	11	10	22	4
HLA.A	C4	0.009940830824249897	0.0031899681003189967	0.10364145658263307	0.2432432432432432	0.27027027027027023	0.05405405405405404	0.29729729729729726	0.13513513513513511	0.025210084033613446	0.028011204481792718	0.0056022408963585435	0.03081232492997199	0.014005602240896359	9	79	10	68	2	60	11	31	5	82	18	20	4	22	10
ACTB	C4	0.01348725643178351	0.004629953700462996	0.10084033613445378	0.1388888888888889	0.19444444444444445	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.014005602240896359	0.0196078431372549	0.01680672268907563	0.03361344537815126	0.01680672268907563	5	83	7	71	6	56	12	30	6	81	8	14	11	22	11
PTPN6	C4	0.020016049839501605	0.007169928300716993	0.05322128851540616	0.3157894736842105	0.10526315789473685	0.15789473684210525	0.3684210526315789	0.052631578947368425	0.01680672268907563	0.0056022408963585435	0.008403361344537815	0.0196078431372549	0.0028011204481792717	6	82	2	76	3	59	7	35	1	86	12	4	6	14	2
HLA.C	C4	0.026335890487248974	0.01021989780102199	0.03361344537815126	0.16666666666666669	0.33333333333333337	0.0	0.4166666666666667	0.08333333333333334	0.0056022408963585435	0.011204481792717087	0.0	0.014005602240896359	0.0028011204481792717	2	86	4	74	0	62	5	37	1	86	4	8	0	10	2
XPO1	C4	0.057238126805723814	0.026269737302626973	0.028011204481792715	0.1	0.1	0.0	0.4	0.4	0.0028011204481792717	0.0028011204481792717	0.0	0.011204481792717087	0.011204481792717087	1	87	1	77	0	62	4	38	4	83	1	1	0	7	7
SLAMF6	C4	0.08390377634685191	0.04069959300406996	0.01680672268907563	0.33333333333333337	0.0	0.0	0.5	0.16666666666666669	0.0056022408963585435	0.0	0.0	0.008403361344537815	0.0028011204481792717	2	86	0	78	0	62	3	39	1	86	4	0	0	6	2
ARHGAP25	C4	0.1377107850543116	0.07604923950760492	0.028011204481792718	0.09999999999999999	0.3	0.09999999999999999	0.39999999999999997	0.09999999999999999	0.0028011204481792717	0.008403361344537815	0.0028011204481792717	0.011204481792717087	0.0028011204481792717	1	87	3	75	1	61	4	38	1	86	2	5	2	7	2
HIST1H2AM	C4	0.17370780540560607	0.0991690083099169	0.09523809523809523	0.2058823529411765	0.14705882352941177	0.2058823529411765	0.2647058823529412	0.17647058823529413	0.0196078431372549	0.014005602240896359	0.0196078431372549	0.025210084033613446	0.01680672268907563	7	81	5	73	7	55	9	33	6	81	12	7	10	17	11
TET2	C4	0.2053166729479202	0.12027879721202787	0.05042016806722689	0.16666666666666666	0.2222222222222222	0.1111111111111111	0.3333333333333333	0.16666666666666666	0.008403361344537815	0.011204481792717087	0.0056022408963585435	0.01680672268907563	0.008403361344537815	3	85	4	74	2	60	6	36	3	84	6	7	4	12	6
PTEN	C4	0.2751802714530994	0.17623823761762383	0.04481792717086835	0.25	0.125	0.1875	0.3125	0.125	0.011204481792717087	0.0056022408963585435	0.008403361344537815	0.014005602240896359	0.0056022408963585435	4	84	2	76	3	59	5	37	2	85	8	4	6	10	4
OGT	C4	0.30210334768160696	0.2010779892201078	0.03081232492997199	0.18181818181818182	0.09090909090909091	0.18181818181818182	0.36363636363636365	0.18181818181818182	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	0.011204481792717087	0.0056022408963585435	2	86	1	77	2	60	4	38	2	85	4	2	4	8	4
X17P.DEL	C5	7.657066286479994e-05	9.99990000099999e-06	0.23529411764705882	0.08333333333333333	0.15476190476190477	0.13095238095238096	0.04761904761904762	0.5833333333333334	0.0196078431372549	0.036414565826330535	0.03081232492997199	0.011204481792717087	0.13725490196078433	7	81	13	65	11	51	4	38	49	38	7	13	12	4	51
X3Q.AMP	C5	7.657066286479994e-05	9.99990000099999e-06	0.28291316526610644	0.06930693069306931	0.38613861386138615	0.04950495049504951	0.019801980198019802	0.4752475247524752	0.0196078431372549	0.1092436974789916	0.014005602240896359	0.0056022408963585435	0.13445378151260504	7	81	39	39	5	57	2	40	48	39	8	44	5	2	53
X15Q15.3.DEL	C5	7.657066286479994e-05	9.99990000099999e-06	0.24929971988795518	0.15730337078651685	0.1348314606741573	0.1797752808988764	0.06741573033707865	0.46067415730337075	0.0392156862745098	0.03361344537815126	0.04481792717086835	0.01680672268907563	0.11484593837535013	14	74	12	66	16	46	6	36	41	46	14	12	16	6	42
X18P.AMP	C5	7.657066286479994e-05	9.99990000099999e-06	0.2408963585434174	0.09302325581395347	0.3255813953488372	0.11627906976744184	0.02325581395348837	0.441860465116279	0.022408963585434174	0.0784313725490196	0.028011204481792718	0.0056022408963585435	0.10644257703081232	8	80	28	50	10	52	2	40	38	49	9	31	10	2	43
TP53	C5	7.657066286479994e-05	9.99990000099999e-06	0.21568627450980393	0.19480519480519481	0.07792207792207792	0.22077922077922077	0.03896103896103896	0.4675324675324675	0.04201680672268908	0.01680672268907563	0.047619047619047616	0.008403361344537815	0.10084033613445378	15	73	6	72	17	45	3	39	36	51	30	12	34	6	71
X2P16.1.AMP	C5	7.657066286479994e-05	9.99990000099999e-06	0.19047619047619047	0.1323529411764706	0.05882352941176471	0.25	0.14705882352941177	0.411764705882353	0.025210084033613446	0.011204481792717087	0.047619047619047616	0.028011204481792718	0.0784313725490196	9	79	4	74	17	45	10	32	28	59	10	4	24	12	35
X4Q35.1.DEL	C5	7.657066286479994e-05	9.99990000099999e-06	0.11764705882352941	0.11904761904761905	0.11904761904761905	0.11904761904761905	0.02380952380952381	0.6190476190476191	0.014005602240896359	0.014005602240896359	0.014005602240896359	0.0028011204481792717	0.07282913165266107	5	83	5	73	5	57	1	41	26	61	5	5	5	1	26
X1P31.1.DEL	C5	7.657066286479994e-05	9.99990000099999e-06	0.12044817927170869	0.09302325581395349	0.11627906976744186	0.046511627906976744	0.1627906976744186	0.5813953488372093	0.011204481792717087	0.014005602240896359	0.0056022408963585435	0.0196078431372549	0.0700280112044818	4	84	5	73	2	60	7	35	25	62	4	5	2	7	25
X2Q22.2.DEL	C5	7.657066286479994e-05	9.99990000099999e-06	0.11484593837535015	0.07317073170731707	0.12195121951219512	0.07317073170731707	0.12195121951219512	0.6097560975609756	0.008403361344537815	0.014005602240896359	0.008403361344537815	0.014005602240896359	0.0700280112044818	3	85	5	73	3	59	5	37	25	62	3	5	3	5	25
X1P36.11.DEL	C5	0.00014105122106673672	1.999980000199998e-05	0.15406162464985995	0.14545454545454545	0.07272727272727272	0.09090909090909091	0.14545454545454545	0.5454545454545455	0.022408963585434174	0.011204481792717087	0.014005602240896359	0.022408963585434174	0.08403361344537816	8	80	4	74	5	57	8	34	30	57	8	4	5	8	30
X16Q12.1.DEL	C5	0.00014105122106673672	1.999980000199998e-05	0.09243697478991597	0.0606060606060606	0.0606060606060606	0.1818181818181818	0.0909090909090909	0.6060606060606061	0.0056022408963585435	0.0056022408963585435	0.01680672268907563	0.008403361344537815	0.056022408963585436	2	86	2	76	6	56	3	39	20	67	2	2	6	3	21
X8Q12.1.DEL	C5	0.00019609560001960957	2.999970000299997e-05	0.13445378151260504	0.125	0.25	0.0625	0.04166666666666667	0.5208333333333334	0.01680672268907563	0.03361344537815126	0.008403361344537815	0.0056022408963585435	0.0700280112044818	6	82	12	66	3	59	2	40	25	62	6	12	3	2	25
X12P13.2.DEL	C5	0.00019609560001960957	2.999970000299997e-05	0.06162464985994398	0.09090909090909091	0.13636363636363635	0.0	0.045454545454545456	0.7272727272727273	0.0056022408963585435	0.008403361344537815	0.0	0.0028011204481792717	0.04481792717086835	2	86	3	75	0	62	1	41	16	71	2	3	0	1	16
X4Q21.22.DEL	C5	0.00024929983258306957	3.999960000399996e-05	0.14285714285714285	0.13725490196078433	0.1568627450980392	0.0784313725490196	0.058823529411764705	0.5686274509803922	0.0196078431372549	0.022408963585434174	0.011204481792717087	0.008403361344537815	0.08123249299719888	7	81	8	70	4	58	3	39	29	58	7	8	4	3	29
X8Q24.22.AMP	C5	0.00034956172177408665	5.999940000599994e-05	0.16246498599439774	0.17241379310344832	0.08620689655172416	0.2931034482758621	0.03448275862068966	0.4137931034482759	0.028011204481792718	0.014005602240896359	0.047619047619047616	0.0056022408963585435	0.06722689075630252	10	78	5	73	17	45	2	40	24	63	10	5	17	2	25
X1P13.1.DEL	C5	0.0003828533143239996	6.999930000699993e-05	0.15406162464985995	0.2	0.10909090909090909	0.07272727272727272	0.10909090909090909	0.509090909090909	0.03081232492997199	0.01680672268907563	0.011204481792717087	0.01680672268907563	0.0784313725490196	11	77	6	72	4	58	6	36	28	59	11	6	4	6	28
X1Q42.12.DEL	C5	0.0003828533143239996	6.999930000699993e-05	0.08683473389355742	0.06451612903225806	0.1935483870967742	0.06451612903225806	0.06451612903225806	0.6129032258064516	0.0056022408963585435	0.01680672268907563	0.0056022408963585435	0.0056022408963585435	0.05322128851540616	2	86	6	72	2	60	2	40	19	68	2	6	2	2	19
X14Q32.31.DEL	C5	0.0004872678545941813	9.99990000099999e-05	0.1512605042016807	0.2777777777777778	0.055555555555555546	0.11111111111111109	0.07407407407407407	0.48148148148148145	0.04201680672268908	0.008403361344537815	0.01680672268907563	0.011204481792717087	0.07282913165266107	15	73	3	75	6	56	4	38	26	61	15	3	6	4	26
X6Q.DEL	C5	0.0008779222552602061	0.00018999810001899982	0.2857142857142857	0.23529411764705882	0.2843137254901961	0.10784313725490197	0.029411764705882353	0.3431372549019608	0.06722689075630252	0.08123249299719888	0.03081232492997199	0.008403361344537815	0.09803921568627451	24	64	29	49	11	51	3	39	35	52	25	29	11	3	35
X9Q21.13.DEL	C5	0.001161321720116132	0.0002599974000259997	0.09803921568627451	0.11428571428571428	0.2571428571428572	0.05714285714285714	0.02857142857142857	0.5428571428571428	0.011204481792717087	0.025210084033613446	0.0056022408963585435	0.0028011204481792717	0.05322128851540616	4	84	9	69	2	60	1	41	19	68	4	9	2	1	19
X19P13.2.DEL	C5	0.001879981200187998	0.0004699953000469995	0.13445378151260504	0.10416666666666667	0.20833333333333334	0.10416666666666667	0.08333333333333334	0.5	0.014005602240896359	0.028011204481792718	0.014005602240896359	0.011204481792717087	0.06722689075630252	5	83	10	68	5	57	4	38	24	63	5	10	5	4	25
X11Q.AMP	C5	0.0018917457884244687	0.00047999520004799953	0.17086834733893558	0.13114754098360656	0.14754098360655737	0.1639344262295082	0.0819672131147541	0.4754098360655738	0.022408963585434174	0.025210084033613446	0.028011204481792718	0.014005602240896359	0.08123249299719888	8	80	9	69	10	52	5	37	29	58	8	9	11	5	32
X1P36.32.DEL	C5	0.0019031693741033602	0.0004899951000489995	0.20728291316526612	0.17567567567567569	0.12162162162162161	0.14864864864864866	0.1081081081081081	0.44594594594594594	0.036414565826330535	0.025210084033613446	0.03081232492997199	0.022408963585434174	0.09243697478991597	13	75	9	69	11	51	8	34	33	54	14	9	12	8	33
X19Q.AMP	C5	0.0023077547002307757	0.0006199938000619994	0.1568627450980392	0.17857142857142858	0.32142857142857145	0.08928571428571429	0.017857142857142856	0.3928571428571429	0.028011204481792718	0.05042016806722689	0.014005602240896359	0.0028011204481792717	0.06162464985994398	10	78	18	60	5	57	1	41	22	65	11	21	5	1	23
X9P21.3.DEL	C5	0.0023077547002307757	0.0006199938000619994	0.10644257703081232	0.18421052631578946	0.3157894736842105	0.052631578947368425	0.0	0.4473684210526316	0.0196078431372549	0.03361344537815126	0.0056022408963585435	0.0	0.047619047619047616	7	81	12	66	2	60	0	42	17	70	8	13	2	0	17
X13Q34.DEL	C5	0.002897268324614051	0.0007999920000799992	0.08403361344537816	0.03333333333333333	0.13333333333333333	0.3333333333333333	0.06666666666666667	0.43333333333333335	0.0028011204481792717	0.011204481792717087	0.028011204481792718	0.0056022408963585435	0.036414565826330535	1	87	4	74	10	52	2	40	13	74	1	4	10	2	13
X13Q14.2.DEL	C5	0.003032601252934839	0.0008599914000859991	0.10084033613445378	0.1111111111111111	0.1111111111111111	0.3611111111111111	0.027777777777777776	0.3888888888888889	0.011204481792717087	0.011204481792717087	0.036414565826330535	0.0028011204481792717	0.0392156862745098	4	84	4	74	13	49	1	41	14	73	4	4	13	1	14
X10Q23.31.DEL	C5	0.008170650000817065	0.0024999750002499977	0.0896358543417367	0.09375	0.0625	0.21875	0.15625	0.46875000000000006	0.008403361344537815	0.0056022408963585435	0.0196078431372549	0.014005602240896359	0.04201680672268908	3	85	2	76	7	55	5	37	15	72	3	2	7	5	17
X19P13.3.DEL	C5	0.009220383986636323	0.002889971100288997	0.18487394957983194	0.16666666666666666	0.15151515151515152	0.16666666666666666	0.07575757575757576	0.4393939393939394	0.03081232492997199	0.028011204481792718	0.03081232492997199	0.014005602240896359	0.08123249299719888	11	77	10	68	11	51	5	37	29	58	13	10	14	5	31
X7P.AMP	C5	0.01584930387255267	0.005499945000549994	0.2773109243697479	0.13131313131313133	0.1919191919191919	0.2323232323232323	0.1212121212121212	0.3232323232323232	0.036414565826330535	0.05322128851540616	0.06442577030812324	0.03361344537815126	0.0896358543417367	13	75	19	59	23	39	12	30	32	55	14	20	25	12	33
X17Q25.1.DEL	C5	0.021895381046189533	0.008139918600813992	0.0896358543417367	0.15625	0.09375	0.09375	0.15625	0.5	0.014005602240896359	0.008403361344537815	0.008403361344537815	0.014005602240896359	0.04481792717086835	5	83	3	75	3	59	5	37	16	71	5	3	3	5	16
X18Q21.32.AMP	C5	0.021895381046189533	0.008169918300816991	0.04481792717086835	0.0625	0.3125	0.0	0.0625	0.5625	0.0028011204481792717	0.014005602240896359	0.0	0.0028011204481792717	0.025210084033613446	1	87	5	73	0	62	1	41	9	78	1	7	0	1	13
X21Q.AMP	C5	0.033364436997831856	0.013569864301356987	0.13445378151260504	0.125	0.14583333333333334	0.16666666666666669	0.125	0.4375	0.01680672268907563	0.0196078431372549	0.022408963585434174	0.01680672268907563	0.058823529411764705	6	82	7	71	8	54	6	36	21	66	6	7	9	6	26
X11P.AMP	C5	0.04113873391180618	0.017959820401795983	0.11204481792717089	0.12499999999999999	0.09999999999999998	0.24999999999999997	0.12499999999999999	0.3999999999999999	0.014005602240896359	0.011204481792717087	0.028011204481792718	0.014005602240896359	0.04481792717086835	5	83	4	74	10	52	5	37	16	71	5	4	11	6	17
X9P24.1.AMP	C5	0.05041007441165257	0.022669773302266976	0.13445378151260504	0.1875	0.1875	0.14583333333333334	0.04166666666666667	0.4375	0.025210084033613446	0.025210084033613446	0.0196078431372549	0.0056022408963585435	0.058823529411764705	9	79	9	69	7	55	2	40	21	66	12	9	9	2	24
X7Q.AMP	C5	0.08276754441757908	0.03983960160398396	0.24369747899159663	0.14942528735632185	0.1954022988505747	0.1724137931034483	0.13793103448275862	0.3448275862068966	0.036414565826330535	0.047619047619047616	0.04201680672268908	0.03361344537815126	0.08403361344537816	13	75	17	61	15	47	12	30	30	57	13	19	15	12	34
RC3H1	C5	0.08440892690309738	0.04125958740412596	0.030812324929971987	0.0	0.18181818181818182	0.2727272727272727	0.0	0.5454545454545454	0.0	0.0056022408963585435	0.008403361344537815	0.0	0.01680672268907563	0	88	2	76	3	59	0	42	6	81	0	4	6	0	12
X13Q.AMP	C5	0.08488612083576134	0.04180958190418096	0.11764705882352941	0.14285714285714285	0.2380952380952381	0.09523809523809525	0.09523809523809525	0.4285714285714286	0.01680672268907563	0.028011204481792718	0.011204481792717087	0.011204481792717087	0.05042016806722689	6	82	10	68	4	58	4	38	18	69	6	10	4	4	18
X1Q.AMP	C5	0.13191210945033408	0.06890931090689092	0.24369747899159663	0.21839080459770116	0.13793103448275862	0.16091954022988506	0.16091954022988506	0.3218390804597701	0.05322128851540616	0.03361344537815126	0.0392156862745098	0.0392156862745098	0.0784313725490196	19	69	12	66	14	48	14	28	28	59	19	12	14	15	28
IRF4	C5	0.13436577962987492	0.07243927560724393	0.10644257703081232	0.13157894736842107	0.3157894736842105	0.13157894736842107	0.052631578947368425	0.3684210526315789	0.014005602240896359	0.03361344537815126	0.014005602240896359	0.0056022408963585435	0.0392156862745098	5	83	12	66	5	57	2	40	14	73	9	22	9	2	25
X19Q13.32.DEL	C5	0.1988849342275808	0.11576884231157689	0.0392156862745098	0.14285714285714285	0.07142857142857142	0.14285714285714285	0.07142857142857142	0.5714285714285714	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.022408963585434174	2	86	1	77	2	60	1	41	8	79	2	1	2	1	8
X9Q.AMP	C5	0.21244724261618142	0.12524874751252488	0.10644257703081232	0.15789473684210525	0.26315789473684215	0.13157894736842107	0.052631578947368425	0.3947368421052632	0.01680672268907563	0.028011204481792718	0.014005602240896359	0.0056022408963585435	0.04201680672268908	6	82	10	68	5	57	2	40	15	72	6	10	5	2	16
FCGBP	C5	0.23591934812359192	0.14436855631443685	0.15406162464985995	0.2	0.23636363636363636	0.2	0.03636363636363636	0.32727272727272727	0.03081232492997199	0.036414565826330535	0.03081232492997199	0.0056022408963585435	0.05042016806722689	11	77	13	65	11	51	2	40	18	69	18	23	16	2	29
E2F5	C5	0.2751802714530994	0.1751182488175118	0.05322128851540617	0.10526315789473684	0.10526315789473684	0.2631578947368421	0.10526315789473684	0.42105263157894735	0.0056022408963585435	0.0056022408963585435	0.014005602240896359	0.0056022408963585435	0.022408963585434174	2	86	2	76	5	57	2	40	8	79	4	4	10	4	16
X17Q24.3.AMP	C5	0.2974313438683795	0.1953280467195328	0.0784313725490196	0.17857142857142858	0.17857142857142858	0.17857142857142858	0.03571428571428571	0.42857142857142855	0.014005602240896359	0.014005602240896359	0.014005602240896359	0.0028011204481792717	0.03361344537815126	5	83	5	73	5	57	1	41	12	75	5	6	5	1	12
X7Q22.1.AMP	C5	0.2977798470602865	0.1966680333196668	0.06162464985994398	0.13636363636363635	0.09090909090909091	0.2727272727272727	0.13636363636363635	0.36363636363636365	0.008403361344537815	0.0056022408963585435	0.01680672268907563	0.008403361344537815	0.022408963585434174	3	85	2	76	6	56	3	39	8	79	3	2	9	4	12
X1Q23.3.AMP	C5	0.36524000351394337	0.25348746512534875	0.07282913165266106	0.23076923076923078	0.2692307692307693	0.07692307692307693	0.038461538461538464	0.3846153846153847	0.01680672268907563	0.0196078431372549	0.0056022408963585435	0.0028011204481792717	0.028011204481792718	6	82	7	71	2	60	1	41	10	77	7	7	3	1	13
RAB5B	C5	0.38741748708167373	0.27610723892761074	0.01680672268907563	0.16666666666666669	0.16666666666666669	0.0	0.0	0.6666666666666667	0.0028011204481792717	0.0028011204481792717	0.0	0.0	0.011204481792717087	1	87	1	77	0	62	0	42	4	83	2	2	0	0	8
X12Q.AMP	C5	0.4248441189057497	0.3096169038309617	0.20168067226890757	0.18055555555555555	0.18055555555555555	0.2361111111111111	0.1388888888888889	0.2638888888888889	0.036414565826330535	0.036414565826330535	0.047619047619047616	0.028011204481792718	0.05322128851540616	13	75	13	65	17	45	10	32	19	68	13	13	17	10	19
COPS6	C5	0.6010528679759931	0.4799452005479945	0.028011204481792715	0.2	0.1	0.3	0.0	0.4	0.0056022408963585435	0.0028011204481792717	0.008403361344537815	0.0	0.011204481792717087	2	86	1	77	3	59	0	42	4	83	4	2	5	0	6
X3Q28.AMP	C5	0.6195080641786175	0.4993050069499305	0.04481792717086834	0.18750000000000003	0.12500000000000003	0.18750000000000003	0.06250000000000001	0.43750000000000006	0.008403361344537815	0.0056022408963585435	0.008403361344537815	0.0028011204481792717	0.0196078431372549	3	85	2	76	3	59	1	41	7	80	3	3	3	1	7
X6Q14.3.DEL	C5	0.6214111374867987	0.5077949220507795	0.0784313725490196	0.21428571428571427	0.21428571428571427	0.17857142857142858	0.03571428571428571	0.35714285714285715	0.01680672268907563	0.01680672268907563	0.014005602240896359	0.0028011204481792717	0.028011204481792718	6	82	6	72	5	57	1	41	10	77	6	7	5	1	13
ZC3H18	C5	0.6286197315018001	0.5231447685523145	0.06722689075630252	0.16666666666666669	0.2916666666666667	0.16666666666666669	0.04166666666666667	0.33333333333333337	0.011204481792717087	0.0196078431372549	0.011204481792717087	0.0028011204481792717	0.022408963585434174	4	84	7	71	4	58	1	41	8	79	7	14	6	2	15
EIF4A2	C5	0.6286197315018001	0.5301046989530105	0.036414565826330535	0.23076923076923075	0.07692307692307691	0.15384615384615383	0.23076923076923075	0.30769230769230765	0.008403361344537815	0.0028011204481792717	0.0056022408963585435	0.008403361344537815	0.011204481792717087	3	85	1	77	2	60	3	39	4	83	6	2	4	6	8
X6P.AMP	C5	0.6288106551248899	0.5373046269537305	0.1792717086834734	0.25	0.23437500000000003	0.15625	0.0625	0.296875	0.04481792717086835	0.04201680672268908	0.028011204481792718	0.011204481792717087	0.05322128851540616	16	72	15	63	10	52	4	38	19	68	17	15	12	4	20
CD7	C5	0.6370331101883787	0.5490845091549085	0.03361344537815126	0.25	0.25	0.08333333333333334	0.0	0.4166666666666667	0.008403361344537815	0.008403361344537815	0.0028011204481792717	0.0	0.014005602240896359	3	85	3	75	1	61	0	42	5	82	6	6	2	0	10
X12P12.1.AMP	C5	0.6852828907608359	0.5983440165598344	0.025210084033613446	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.4444444444444444	0.0028011204481792717	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.011204481792717087	1	87	1	77	2	60	1	41	4	83	1	1	3	2	5
PELP1	C5	0.7329726702732973	0.6563934360656394	0.0196078431372549	0.2857142857142857	0.14285714285714285	0.0	0.14285714285714285	0.42857142857142855	0.0056022408963585435	0.0028011204481792717	0.0	0.0028011204481792717	0.008403361344537815	2	86	1	77	0	62	1	41	3	84	4	2	0	2	4
X6Q14.1.DEL	C5	0.814690064481469	0.7478125218747812	0.04481792717086835	0.25	0.125	0.1875	0.0625	0.375	0.011204481792717087	0.0056022408963585435	0.008403361344537815	0.0028011204481792717	0.01680672268907563	4	84	2	76	3	59	1	41	6	81	4	2	3	1	8
TMCO4	C5	0.8682579309665072	0.8131818681813182	0.028011204481792715	0.2	0.1	0.2	0.1	0.4	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.011204481792717087	2	86	1	77	2	60	1	41	4	83	3	1	2	2	8
CCDC159	C5	0.9022087904120959	0.8618113818861811	0.022408963585434174	0.125	0.25	0.125	0.125	0.375	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0028011204481792717	0.008403361344537815	1	87	2	76	1	61	1	41	3	84	2	4	2	2	6
